Player,Ht,Wt,Pos,GP,MP,RY,LY,EXP,PTS,ORB,DRB,TRB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,TOV,PF,HOF
Robert Covington,206,97,SF,211,6012,2014,2017,4,2681,224,952,1176,304,331,140,393,863,478,1351,461,568,403,627,0
Reggie Evans,203,111,PF,930,17864,2003,2015,13,3880,2270,4331,6601,517,643,128,1308,2785,1,12,1261,2383,1040,2180,0
Ratko Varda,216,117,C,1,6,2002,2002,1,5,0,1,1,0,0,0,2,3,0,0,1,1,1,3,0
Rashad Vaughn,198,91,SG,111,1459,2016,2017,2,359,15,122,137,62,48,26,69,194,69,228,14,20,42,105,0
Quincy Douby,190,79,PG,170,1835,2007,2009,3,703,40,144,184,118,55,26,182,417,82,264,93,105,100,155,0
Paul McPherson,193,95,PG,110,1190,2001,2001,1,524,80,78,158,76,50,8,214,408,4,24,84,116,94,160,0
Patrick McCaw,201,83,SG,71,1074,2017,2017,1,282,22,79,101,77,32,15,65,122,41,123,29,37,36,62,0
Patricio Garino,198,95,SG,5,43,2017,2017,1,0,1,6,7,0,0,0,0,2,0,5,0,0,3,4,0
Omer Asik,213,115,C,453,9034,2011,2017,7,2457,1027,2288,3315,277,165,335,938,1772,0,1,581,1049,533,908,0
Norris Cole,188,79,PG,435,9849,2012,2017,6,3079,92,769,861,1236,337,49,973,2212,262,815,347,470,616,803,0
Nolan Smith,188,83,PG,84,829,2012,2013,2,277,24,59,83,97,25,4,90,221,19,73,40,56,71,81,0
Nikola Pekovic,211,139,C,271,6744,2011,2016,6,3405,803,1004,1807,199,140,151,1314,2537,0,0,777,1023,414,632,0
Nicolas Brussino,201,88,SF,54,521,2017,2017,1,150,26,69,95,47,17,8,23,46,29,95,17,22,26,43,0
Al Horford,208,111,C,646,21535,2008,2017,10,9240,1472,4136,5608,1926,534,784,3728,6864,195,563,1199,1603,1031,1537,0
Myles Turner,211,110,C,141,3908,2016,2017,2,1792,207,712,919,147,99,259,665,1270,43,129,333,424,172,420,0
Mitch McGary,208,115,PF,52,557,2015,2016,2,227,57,126,183,17,17,18,99,182,0,6,29,50,38,82,0
Mike Wilks,178,83,PG,341,3464,2003,2010,8,865,91,266,357,409,132,15,263,646,50,168,189,258,178,331,0
Mike Miller,203,98,SF,1097,29998,2001,2017,17,11984,679,4039,4718,2836,615,250,2690,5396,1699,4210,1507,1943,1686,2216,0
Mike James,188,85,PG,865,20788,2002,2014,13,8290,314,1654,1968,2938,684,55,2047,4710,993,2634,1217,1522,1255,1695,0
Mike Hall,203,104,SF,2,13,2007,2007,1,2,1,1,2,1,0,0,1,4,0,0,0,0,0,1,0
Michael Kidd-Gilchrist,201,105,SF,283,7668,2013,2017,5,2582,517,1288,1805,369,211,227,993,2093,7,34,575,808,288,620,0
Meyers Leonard,216,111,PF,299,4963,2013,2017,5,1714,230,936,1166,246,49,103,448,860,210,566,188,228,215,712,0
Melvin Ely,208,117,C,405,6314,2003,2014,12,2081,463,805,1268,279,105,217,812,1779,0,3,457,729,420,816,0
Mehmet Okur,211,112,C,634,18429,2003,2012,10,8561,1261,3175,4436,1089,329,453,2432,5025,596,1590,1909,2396,991,1815,0
Maurice Ager,196,91,SG,108,670,2007,2011,5,220,12,47,59,27,6,7,71,191,14,63,36,65,35,82,0
Matt Freije,208,108,PF,42,588,2005,2007,3,133,24,61,85,27,16,3,36,105,17,76,10,14,20,53,0
Mateen Cleaves,188,92,PG,167,1863,2001,2006,6,609,33,142,175,310,67,5,221,554,12,45,131,180,201,213,0
Markieff Morris,188,88,PF,512,13430,2012,2017,6,6103,702,2160,2862,883,485,306,2035,4308,344,1051,1001,1301,890,1487,0
Billy Thomas,193,94,SF,64,571,2005,2008,4,158,12,42,54,26,26,2,20,50,35,118,13,15,23,56,0
Marcus Thornton,193,92,SG,737,16645,2010,2017,8,8356,586,1454,2040,1010,601,92,2005,4316,1077,3020,1115,1355,729,1087,0
Marcus Georges-Hunt,196,97,SG,5,48,2017,2017,1,14,1,8,9,3,1,0,1,5,1,2,9,10,2,5,0
Marco Belinelli,196,95,SG,644,14903,2008,2017,10,6209,144,1177,1321,1080,375,44,1351,2929,853,2262,948,1140,665,965,0
Malcolm Lee,196,90,SG,36,534,2012,2015,4,140,24,41,65,51,20,10,42,102,10,34,26,37,27,52,0
Maceo Baston,206,97,PF,105,831,2003,2009,7,286,56,119,175,26,24,43,103,164,3,8,71,96,54,140,0
Luke Walton,203,106,PF,594,10049,2004,2013,10,2704,494,1143,1637,1352,318,103,885,1936,189,578,367,513,624,851,0
Luke Babbitt,206,102,SF,331,4617,2011,2017,7,1559,105,646,751,193,82,51,225,555,334,823,107,144,146,466,0
Lorenzo Brown,196,85,PG,63,834,2014,2016,3,206,22,83,105,142,44,10,76,167,10,66,24,36,55,72,0
Linas Kleiza,203,111,SF,409,8185,2006,2013,8,3561,388,1082,1470,321,159,73,881,1758,387,1154,638,836,409,886,0
Leon Powe,203,108,C,269,3648,2007,2011,5,1642,404,570,974,85,79,86,549,1064,0,7,544,811,201,547,0
Lazaro Borrell,203,99,SF,17,167,2000,2000,1,62,14,26,40,10,6,3,28,60,0,3,6,11,6,9,0
Lavoy Allen,206,117,PF,453,7977,2012,2017,6,2150,834,1321,2155,455,144,247,958,2030,4,28,222,327,301,832,0
Lance Allred,211,113,C,3,10,2008,2008,1,3,0,1,1,0,0,0,1,4,0,0,1,2,0,1,0
LaMarcus Aldridge,211,117,PF,794,27568,2007,2017,11,15136,2086,4504,6590,1510,611,828,6073,12366,84,293,2738,3412,1243,2005,0
Kyrie Irving,190,87,PG,381,13024,2012,2017,6,8232,281,1009,1290,2114,504,127,2286,4701,723,1887,1491,1708,1031,829,0
Kyle Lowry,183,92,PG,790,23737,2007,2017,11,10746,623,2476,3099,4398,1049,208,2300,4927,1162,3219,2660,3329,1699,2088,0
Kostas Papanikolaou,203,102,SF,69,1089,2015,2016,2,249,47,111,158,101,42,18,52,125,41,138,22,32,76,95,0
Kirk Haston,206,109,SF,27,134,2002,2003,2,32,5,22,27,8,0,6,13,50,0,6,6,12,10,19,0
Kendall Marshall,193,90,PG,160,3083,2013,2016,4,802,23,230,253,779,107,10,187,443,128,346,44,72,285,180,0
Keith Bogans,196,97,SG,808,17711,2004,2014,11,5243,477,1797,2274,1058,543,81,963,2189,853,2438,758,1052,705,1495,0
Kay Felder,175,79,PG,42,386,2017,2017,1,166,3,38,41,58,18,7,55,136,7,22,35,49,31,38,0
Justin Holiday,198,83,SG,256,3984,2013,2017,5,1403,63,429,492,277,172,87,308,669,208,608,163,207,182,292,0
Julius Hodge,201,95,SG,32,163,2006,2007,2,43,9,14,23,30,10,0,17,37,0,0,9,16,14,19,0
Juan Dixon,190,74,PG,570,11103,2003,2009,7,4719,197,852,1049,995,438,45,1365,3084,440,1270,669,799,707,972,0
Josh Powell,206,102,PF,353,4319,2006,2014,9,1342,355,665,1020,182,54,80,534,1209,7,20,253,342,283,552,0
Josh Davis,188,77,PF,73,515,2004,2012,9,162,52,67,119,20,19,5,35,85,23,72,23,32,22,73,0
Jordan McRae,198,83,SG,81,774,2016,2017,2,359,14,66,80,69,14,8,88,211,38,95,69,90,44,65,0
