Player,Ht,Wt,Pos,GP,MP,RY,LY,EXP,PTS,ORB,DRB,TRB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,TOV,PF,HOF
Yaroslav Korolev,206,92,SF,34,168,2006,2007,2,39,6,10,16,13,6,0,10,34,3,12,10,16,7,11,0
Xavier Henry,198,99,SF,185,2905,2011,2015,5,1050,81,270,351,120,100,23,327,781,41,126,273,430,139,264,0
Willy Hernangomez,211,108,C,72,1324,2017,2017,1,587,170,332,502,96,41,36,242,450,4,15,91,125,100,150,0
Britton Johnsen,208,95,SF,26,377,2004,2005,2,54,20,35,55,16,8,1,22,65,1,16,7,16,17,38,0
Will Conroy,188,88,PG,23,160,2007,2013,7,7,7,11,18,25,0,0,3,19,0,6,1,12,8,20,0
Brian Roberts,185,78,PG,365,5677,2013,2017,5,2264,64,399,463,775,142,21,595,1344,232,652,378,417,295,403,0
Walker Russell,183,77,G,28,357,2012,2012,1,84,7,19,26,58,18,1,29,82,4,13,14,22,33,29,0
Vonteego Cummings,190,83,PG,199,3789,2000,2002,3,1381,118,255,373,534,176,32,412,1019,109,340,230,317,259,387,0
Vitor Faverani,211,117,C,37,488,2014,2014,1,164,42,86,128,16,14,27,52,107,12,40,24,37,41,74,0
Victor Oladipo,193,95,SG,291,9661,2014,2017,4,4618,181,1086,1267,1080,443,131,1319,2816,383,1108,831,1039,732,726,0
Vassilis Spanoulis,193,88,SG,31,272,2007,2007,1,85,5,17,22,28,7,1,18,43,5,29,34,42,29,33,0
Tyler Ulis,178,68,PG,61,1123,2017,2017,1,444,20,75,95,226,48,5,163,358,21,79,55,71,77,73,0
Brian Cook,206,106,PF,534,6725,2004,2012,9,2705,353,966,1319,294,157,154,734,1610,328,881,253,318,315,956,0
Tristan Thompson,206,107,C,466,13381,2012,2017,6,4378,1591,2436,4027,385,240,364,1723,3338,0,9,932,1525,520,1123,0
Trenton Hassell,196,90,SF,707,17051,2002,2010,9,3864,561,1348,1909,1173,295,275,1509,3307,97,308,555,726,619,1489,0
Travis Outlaw,206,95,SF,656,13756,2004,2014,11,5582,513,1582,2095,548,349,398,1720,3868,384,1126,990,1324,544,1078,0
Travis Diener,185,79,PG,188,2711,2006,2010,5,860,39,207,246,440,80,9,135,306,165,472,95,115,99,202,0
Tony Wroten,198,92,PG,145,3076,2013,2016,4,1604,106,257,363,437,137,28,491,1030,84,363,370,572,375,268,0
Brendan Haywood,213,121,C,893,21035,2002,2015,14,6242,2359,3231,5590,485,346,1267,2386,4485,0,5,1470,2491,950,2252,0
Brandon Rush,198,99,SG,481,10564,2009,2017,9,3250,187,1226,1413,468,222,262,698,1561,522,1300,288,408,400,620,0
Brandon Jennings,185,77,PG,670,19309,2010,2017,8,8637,369,1551,1920,3672,772,107,1992,4844,1035,3022,1548,1963,1370,1158,0
Tobias Harris,190,86,PF,515,14889,2012,2017,6,7024,592,2373,2965,846,377,274,2202,4303,462,1396,1234,1529,667,1001,0
Tim Young,213,99,C,25,137,2000,2000,1,54,13,22,35,5,2,1,13,39,0,0,28,36,9,18,0
Brandon Davies,208,108,PF,105,1421,2014,2015,2,428,114,161,275,88,60,22,146,324,18,78,82,127,93,210,0
Tiago Splitter,211,111,C,355,6812,2011,2017,7,2816,576,1203,1779,423,198,209,1071,1918,2,14,668,958,384,685,0
Thomas Gardner,196,102,SG,20,143,2008,2009,2,45,3,8,11,3,4,1,11,24,7,35,2,6,7,8,0
Thaddeus Young,203,100,PF,815,25028,2008,2017,10,11136,1588,3188,4776,1307,1182,321,4441,8599,336,1025,1246,1841,1183,1784,0
Terry Rozier,188,86,PG,113,1574,2016,2017,2,482,64,226,290,168,51,12,117,311,63,206,59,76,66,92,0
Brandin Knight,178,78,PG,1,3,2005,2005,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Terrel Harris,196,86,SG,62,592,2012,2013,2,110,26,77,103,44,13,8,29,82,8,55,28,41,59,68,0
Tamar Slay,203,97,SG,66,517,2003,2005,3,173,24,46,70,31,26,4,60,153,13,49,14,26,39,71,0
T.J. Ford,201,92,PG,429,11882,2004,2012,9,4797,296,1035,1331,2495,496,55,1702,3784,127,439,1012,1242,1047,972,0
Sun Yue,206,92,SG,10,28,2009,2009,1,6,0,0,0,2,1,1,3,5,0,6,0,0,3,10,0
Al-Farouq Aminu,206,99,SF,520,12520,2011,2017,7,3766,727,2221,2948,639,494,307,1093,2339,305,942,665,917,667,967,0
Stephen Graham,198,97,SG,261,3090,2006,2011,6,1024,82,369,451,124,62,21,344,720,55,182,171,220,168,383,0
Stanley Johnson,203,99,SF,150,3058,2016,2017,2,932,94,401,495,223,111,36,246,606,108,359,116,155,185,299,0
Spencer Dinwiddie,198,90,PG,105,1948,2015,2017,3,635,35,194,229,311,66,29,153,349,51,176,176,226,106,192,0
Shelden Williams,185,91,C,529,7785,2007,2012,6,2323,739,1454,2193,226,246,229,853,1852,2,13,611,832,416,1033,0
Shawn Marion,201,99,SF,1295,44882,2000,2015,16,19563,3048,8285,11333,2475,1972,1384,7204,13990,867,2641,2554,3174,1941,2817,0
Bojan Bogdanovic,198,92,SF,319,8135,2015,2017,3,3813,160,862,1022,389,131,28,829,1637,508,1378,631,724,453,515,0
Sharrod Ford,201,95,PF,3,13,2006,2006,1,4,1,2,3,0,0,1,2,3,0,0,0,0,2,7,0
Shabazz Napier,185,79,PG,159,2124,2015,2017,3,682,34,195,229,294,95,7,117,298,111,314,115,150,168,152,0
Sebastian Telfair,183,74,PG,666,13788,2005,2015,11,4722,169,858,1027,2239,474,91,1310,3124,427,1339,821,1056,973,1371,0
Sean Lampley,201,102,SF,45,550,2003,2004,2,203,28,66,94,33,7,4,69,145,0,4,65,94,28,45,0
Scotty Hopson,201,92,SG,2,7,2014,2014,1,1,0,0,0,1,1,0,0,2,0,2,1,2,0,0,0
Bobby Simmons,201,95,SF,466,11513,2002,2012,11,4189,559,1232,1791,710,396,83,1173,2597,378,955,709,862,522,1153,0
Ryan Anderson,208,108,PF,556,14708,2009,2017,9,7316,1135,1886,3021,505,304,195,1341,2870,1184,3107,1082,1257,549,1111,0
Al Thornton,203,99,PF,442,11736,2008,2011,4,4855,564,1176,1740,505,265,199,1800,3813,93,323,976,1307,590,1120,0
Ronnie Price,188,86,PG,544,7293,2006,2017,12,2015,176,482,658,960,424,56,494,1172,244,808,295,400,476,922,0
Ronald Murray,193,86,SG,694,15798,2003,2010,8,6837,276,1153,1429,1577,560,131,2106,4700,454,1509,1263,1752,1060,1104,0
Rodrigue Beaubois,183,77,PG,182,2896,2010,2013,4,1286,47,291,338,374,124,52,373,746,129,397,153,189,204,312,0
Rodney McGruder,193,92,SG,78,1966,2017,2017,1,497,95,162,257,124,45,18,117,240,73,220,44,71,56,140,0
Robert Swift,213,111,C,97,1500,2005,2009,5,416,122,254,376,20,26,86,172,340,0,0,72,118,71,224,0
Robert Archibald,211,113,PF,76,584,2003,2004,2,83,48,73,121,29,28,9,24,86,0,0,35,80,27,109,0
Ricky Ledo,201,88,SG,45,521,2014,2015,2,199,32,42,74,40,13,2,47,147,23,62,36,48,54,44,0
Richie Frahm,196,95,SG,173,1815,2004,2008,5,610,39,158,197,104,41,12,99,196,118,337,58,73,43,152,0
Richard Jefferson,201,105,SF,1224,35878,2002,2017,16,15452,941,3980,4921,2485,822,365,4188,8532,1153,3031,3617,4717,1813,2747,0
Renaldo Major,201,90,PF,1,27,2007,2007,1,5,0,2,2,0,2,0,2,10,0,0,1,2,1,4,0
Reggie Jackson,190,94,PG,480,12155,2012,2017,6,6036,269,1283,1552,2210,357,57,1843,3902,448,1411,1006,1177,966,907,0
Reggie Bullock,201,92,SF,183,1967,2014,2017,4,516,40,246,286,84,57,14,86,196,102,291,38,49,47,115,0
Randy Foye,193,96,SG,833,20921,2007,2017,11,8203,269,1573,1842,2273,567,249,1694,3965,1179,3267,1278,1503,1192,1715,0
Rajon Rondo,185,84,PG,782,25063,2007,2017,11,8214,862,2994,3856,6613,1375,103,3188,6640,267,876,1037,1738,2279,1764,0
A.J. Price,213,124,PG,287,4253,2010,2015,6,1656,74,335,409,613,132,9,367,834,233,747,223,303,243,252,0
Quentin Richardson,198,101,SF,783,20785,2001,2013,13,8032,933,2733,3666,1138,607,148,1756,4072,1167,3288,1019,1420,868,1529,0
Predrag Drobnjak,211,122,C,278,5542,2002,2005,4,2187,313,660,973,225,132,117,837,1931,66,194,315,394,242,512,0
Pierre Jackson,178,81,PG,8,84,2017,2017,1,35,1,8,9,19,2,0,10,28,3,11,6,7,3,5,0
Peyton Siva,183,83,SG,24,224,2014,2014,1,54,2,12,14,34,9,1,11,32,7,25,11,15,18,27,0
Pero Antic,211,117,C,113,1962,2014,2015,2,708,115,283,398,107,37,26,123,246,108,344,138,189,104,258,0
Paul Zipser,203,97,SF,44,843,2017,2017,1,240,15,110,125,36,15,16,55,122,33,99,31,40,40,78,0
Paul Shirley,208,104,PF,18,121,2003,2005,3,33,9,10,19,7,1,1,15,37,0,1,3,7,10,12,0
Pau Gasol,213,113,C,1185,41180,2002,2017,16,21247,3089,8013,11102,3846,607,1945,7992,15529,134,369,4861,6424,2638,2621,0
Pat Burke,211,113,C,127,1293,2003,2007,5,468,90,176,266,44,28,40,190,452,9,36,61,92,87,180,0
P.J. Tucker,206,97,SF,499,13878,2007,2017,11,3741,817,2043,2860,750,619,123,993,2112,391,1111,582,772,514,1134,0
Othello Hunter,203,102,SF,23,125,2009,2010,2,33,15,21,36,1,2,6,15,32,0,0,3,9,5,16,0
Orlando Johnson,196,99,SG,155,1605,2013,2016,4,455,46,204,250,91,29,19,104,266,58,208,73,100,67,121,0
Olumide Oyedeji,208,108,C,93,587,2001,2003,3,127,61,135,196,11,16,15,50,101,0,0,27,41,30,106,0
Oleksiy Pecherov,213,105,C,111,1044,2008,2010,3,438,88,178,266,20,21,22,115,259,45,155,73,92,59,119,0
Obinna Ekezie,206,122,C,176,1797,2000,2005,6,611,177,284,461,40,43,32,197,470,0,1,217,303,109,302,0
Norman Powell,193,97,SG,125,2093,2016,2017,2,909,42,237,279,129,80,24,232,473,92,262,169,212,102,186,0
Nikola Jokic,208,113,C,153,3771,2016,2017,2,2017,393,885,1278,548,140,106,728,1231,73,223,342,418,275,422,0
Nick Young,201,95,SG,698,16718,2008,2017,10,8483,271,1162,1433,705,400,144,1990,4495,1016,2712,1455,1740,753,1353,0
Nick Johnson,190,91,SG,28,262,2015,2015,1,74,13,26,39,11,7,3,21,54,5,21,17,25,19,34,0
Nene Hilario,211,113,C,910,25043,2003,2017,15,10953,1663,4156,5819,1728,1037,731,4183,7607,7,52,2566,3878,1735,2819,0
Nate Wolters,193,86,PG,100,1803,2014,2015,2,501,49,168,217,229,51,19,192,427,18,76,63,102,83,103,0
Nate Huffman,216,111,C,7,76,2003,2003,1,23,9,14,23,5,1,3,9,25,0,0,5,8,3,13,0
Mychel Thompson,208,102,SG,5,95,2012,2012,1,18,0,5,5,7,2,1,3,13,4,11,0,0,5,8,0
Mouhamed Sene,201,99,C,53,289,2007,2009,3,123,33,56,89,1,5,25,41,91,0,0,41,66,19,46,0
Mirza Teletovic,206,109,PF,314,5606,2013,2017,5,2565,186,833,1019,263,100,81,382,813,520,1415,241,319,248,538,0
Mile Ilic,216,104,C,5,6,2007,2007,1,0,0,1,1,0,0,0,0,3,0,0,0,0,3,1,0
Mike Tobey,213,117,C,2,25,2017,2017,1,2,2,1,3,1,0,0,1,4,0,0,0,0,1,2,0
Mike Conley,185,79,PG,706,22985,2008,2017,10,10050,300,1762,2062,4011,1055,137,2721,5805,907,2391,1887,2316,1438,1401,0
Mike Batiste,203,102,PF,75,1248,2003,2003,1,481,82,175,257,52,42,16,179,386,18,81,69,88,69,120,0
Mickell Gladness,211,99,PF,52,504,2012,2012,1,112,28,88,116,10,8,40,50,118,0,0,12,24,14,64,0
Michael Redd,198,99,SG,629,20104,2001,2012,12,11972,622,1789,2411,1338,579,66,3162,6654,1045,2751,2513,2998,963,1002,0
Michael Beasley,206,106,PF,509,11973,2009,2017,9,6411,554,1833,2387,640,301,261,2350,4952,254,732,949,1252,855,1107,0
Mengke Bateer,211,131,C,46,494,2002,2004,3,156,39,75,114,27,11,5,56,141,5,15,29,39,40,118,0
Blake Griffin,208,113,PF,471,16567,2011,2017,7,10117,1154,3269,4423,1954,455,269,3826,7279,80,268,2225,3305,1159,1412,0
Maurice Evans,196,99,SF,710,14187,2002,2012,11,4872,703,1055,1758,546,374,112,1306,2652,562,1548,574,731,351,1227,0
Matt Carroll,198,96,SG,530,8276,2004,2013,10,3196,155,783,938,342,245,66,744,1731,358,952,634,755,336,779,0
Marvin Williams,185,89,PF,861,24891,2006,2017,12,9122,1096,3488,4584,1125,661,448,2552,5339,724,2051,1846,2288,875,1780,0
Bismack Biyombo,206,115,C,447,9557,2012,2017,6,2176,910,2035,2945,189,117,667,809,1580,0,1,558,1009,411,1031,0
Martynas Andriuskevicius,218,108,C,6,9,2006,2006,1,0,1,3,4,0,2,0,0,1,0,0,0,0,0,1,0
Martell Webster,216,102,SF,580,13914,2006,2015,10,5056,352,1459,1811,588,299,160,906,1995,790,2067,874,1105,536,1055,0
Marquis Teague,188,85,SG,128,1278,2013,2014,2,313,5,119,124,179,29,17,105,292,14,59,61,86,113,139,0
Mark Madsen,206,108,C,453,5335,2001,2009,9,975,559,598,1157,181,116,102,380,818,1,16,212,402,206,866,0
Mario Kasun,216,117,C,73,569,2005,2006,2,198,76,112,188,11,10,16,78,166,0,1,42,66,41,155,0
Marcus Williams,201,92,F,13,39,2008,2009,2,14,4,8,12,3,1,1,7,22,0,0,0,0,0,4,0
Marcus Morris,188,88,SF,493,12440,2012,2017,6,5109,490,1554,2044,709,346,124,1299,2761,611,1711,678,970,553,1015,0
Marcus Cousin,211,111,C,4,18,2011,2011,1,4,0,3,3,0,0,1,2,3,0,0,0,0,1,1,0
Marcelo Huertas,190,90,PG,76,1106,2016,2017,2,300,20,94,114,234,36,9,102,218,20,80,36,46,99,92,0
Malik Beasley,196,88,SG,22,165,2017,2017,1,83,5,12,17,11,7,0,24,45,9,28,8,10,8,10,0
Malcolm Brogdon,196,97,SG,75,1982,2017,2017,1,767,47,166,213,317,84,12,212,442,78,193,109,126,113,140,0
Maalik Wayns,188,90,PG,56,413,2013,2014,2,154,2,14,16,56,14,0,39,116,14,62,34,38,30,56,0
Luke Ridnour,188,79,PG,891,22764,2004,2015,12,8046,386,1588,1974,3889,846,169,2438,5348,621,1782,1307,1522,1415,1871,0
Luis Montero,201,83,SG,12,42,2016,2016,1,14,0,4,4,1,0,0,4,10,1,9,3,4,4,1,0
Luc Mbah,201,99,SF,685,15391,2009,2017,9,4119,996,1759,2755,567,567,251,1450,3078,146,455,781,1183,616,1202,0
Lou Amundson,206,99,PF,550,7090,2007,2016,10,1953,827,1171,1998,278,200,389,811,1747,0,4,331,760,399,1078,0
Loren Woods,216,111,C,215,2428,2002,2008,7,555,263,419,682,74,55,128,207,489,1,7,138,215,138,278,0
Lawrence Roberts,206,108,PF,87,1150,2006,2007,2,334,127,183,310,35,44,15,114,248,0,4,106,154,41,163,0
Larry Sanders,211,106,C,238,4635,2011,2017,7,1520,475,870,1345,174,152,429,669,1390,0,5,182,329,224,666,0
Landry Fields,201,95,SF,255,6010,2011,2015,5,1731,248,844,1092,419,212,45,564,1085,120,361,243,365,270,310,0
Lamar Odom,208,99,PF,961,32131,2000,2013,14,12781,1821,6238,8059,3554,848,892,4147,8267,664,2126,2495,3599,2253,2916,0
Kyle Weaver,198,91,SG,73,1379,2009,2011,3,363,34,124,158,119,55,33,92,185,42,119,53,72,80,97,0
Kyle Anderson,206,104,SG,183,2623,2015,2017,3,670,63,461,524,242,126,62,232,505,30,88,116,154,108,188,0
Kristaps Porzingis,221,108,PF,138,4211,2016,2017,2,2224,243,758,1001,191,100,264,623,1314,193,557,399,492,239,449,0
Kosta Koufos,213,120,C,623,9812,2009,2017,9,3440,1054,1879,2933,243,239,481,1523,2879,0,6,394,655,434,1243,0
Kim English,198,90,SG,41,407,2013,2013,1,119,8,29,37,26,16,3,28,62,14,50,21,29,19,46,0
Keyon Dooling,190,88,PG,728,14134,2001,2013,13,5067,132,832,964,1601,463,75,1364,3079,446,1277,1001,1253,803,1221,0
Kevin Durant,206,108,SF,703,26278,2008,2017,10,19121,553,4478,5031,2663,840,738,5203,9933,1260,3321,4935,5596,2221,1330,0
Keith McLeod,188,85,PG,248,4441,2004,2007,4,1336,44,267,311,626,169,32,361,952,75,254,389,478,296,410,0
Kasib Powell,201,97,SF,11,304,2008,2008,1,84,8,36,44,18,9,2,27,62,8,33,6,9,5,18,0
Kaniel Dickens,203,97,PF,19,85,2004,2008,5,22,5,7,12,2,2,2,5,11,3,9,3,4,3,9,0
Justin Hamilton,213,117,C,162,2745,2014,2017,4,932,193,351,544,127,93,103,281,514,81,261,127,156,103,247,0
Jumaine Jones,203,98,SF,471,9780,2000,2007,8,3325,552,1435,1987,408,307,144,869,1834,425,1218,312,443,388,870,0
Julian Wright,203,102,SF,231,3049,2008,2011,4,907,184,347,531,182,132,69,381,734,16,61,97,166,164,182,0
Jrue Holiday,193,92,PG,504,16257,2010,2017,8,7191,403,1397,1800,3147,732,197,2280,4907,567,1551,930,1180,1358,1146,0
Josh Huestis,201,104,PF,7,86,2016,2017,2,28,6,13,19,3,1,5,5,13,6,10,0,5,3,3,0
Josh Boone,208,107,PF,256,4482,2007,2010,4,1340,484,774,1258,125,99,178,567,1042,0,0,206,463,169,466,0
Jorge Gutierrez,190,86,PG,67,657,2014,2016,3,190,13,66,79,91,25,1,72,127,3,20,37,49,44,90,0
Jordan Hamilton,178,72,SF,211,3119,2012,2016,5,1294,121,502,623,179,117,54,282,633,207,582,109,154,148,211,0
Jonathon Simmons,185,83,SG,133,2205,2016,2017,2,814,36,220,256,184,71,30,251,514,48,149,168,224,129,249,0
Bernard Robinson,198,95,SF,159,2187,2005,2007,3,637,96,267,363,145,126,18,226,537,5,33,170,214,126,247,0
Johan Petro,213,112,C,522,7821,2006,2013,8,2364,578,1416,1994,243,212,249,1047,2275,2,15,264,395,402,1265,0
Joey Dorsey,203,121,PF,145,1594,2009,2015,7,367,214,342,556,57,70,46,151,285,0,1,65,172,92,277,0
Joel Freeland,208,113,C,151,1821,2013,2015,3,477,190,328,518,65,32,56,209,453,0,2,59,81,74,255,0
Joel Anthony,206,111,C,523,7242,2008,2017,10,1092,577,814,1391,101,130,543,410,808,0,0,272,413,230,836,0
Ben Gordon,190,90,SG,744,20366,2005,2015,11,11084,333,1518,1851,1868,508,114,2760,6171,1171,2921,2051,2394,1551,1720,0
Joe Johnson,201,90,SF,1379,47648,2002,2017,16,21606,1177,4258,5435,5415,1173,277,6208,13173,2096,5629,2902,3618,2632,2445,0
Joe Harris,198,99,SG,108,1646,2015,2017,3,567,23,168,191,82,37,10,86,177,117,309,44,64,83,184,0
Joe Crispin,183,83,PG,42,312,2002,2002,1,158,4,18,22,52,10,0,22,58,30,78,24,26,20,20,0
Joe Alexander,203,104,SF,67,745,2009,2010,2,282,46,74,120,44,16,30,87,204,16,47,60,86,52,116,0
Jiri Welsch,201,94,SF,318,5913,2003,2006,4,1980,146,623,769,478,231,20,513,1197,152,454,498,660,335,515,0
Jimmy Butler,201,99,SF,399,12880,2012,2017,6,6208,568,1353,1921,1254,583,183,1669,3481,338,1002,1856,2241,562,567,0
Jerome Dyson,190,81,PG,9,180,2012,2012,1,67,2,17,19,18,11,2,18,40,1,8,28,36,20,19,0
Jeremy Tyler,208,117,C,125,1102,2012,2014,3,395,104,185,289,26,24,44,166,372,0,1,63,112,74,174,0
Jeremy Lin,190,90,PG,405,10757,2011,2017,7,4842,175,984,1159,1807,471,162,1249,2672,393,1124,1165,1449,958,913,0
Jerel McNeal,190,90,PG,6,36,2015,2015,1,9,0,3,3,2,3,1,2,9,1,2,2,2,5,5,0
Jeff Withey,213,104,C,197,2033,2014,2017,4,651,180,328,508,64,56,153,243,454,0,4,165,230,74,226,0
Jeff Teague,188,84,PG,600,16175,2010,2017,8,7545,192,1253,1445,3310,713,205,2172,4565,510,1436,1671,1979,1349,1119,0
Jeff Green,196,88,PF,938,29028,2008,2017,10,12633,903,3437,4340,1515,709,504,3700,7806,935,2838,2428,3059,1438,2121,0
Jeff Foote,213,120,C,4,39,2012,2012,1,4,1,5,6,0,0,1,2,6,0,0,0,0,2,5,0
Jeff Ayres,188,83,C,237,2322,2010,2016,7,690,196,436,632,99,37,66,285,514,2,5,114,147,132,360,0
Jaylen Brown,193,97,SF,78,1341,2017,2017,1,515,45,175,220,64,35,18,146,288,46,135,85,124,68,142,0
Jawad Williams,206,108,SF,90,1153,2009,2011,3,340,24,109,133,56,22,8,82,200,45,144,41,57,35,109,0
Jason Smith,211,113,C,563,9554,2008,2017,10,3599,622,1348,1970,425,202,389,1435,2992,71,194,516,664,478,1263,0
Austin Daye,211,99,SF,404,5300,2010,2015,6,1964,174,815,989,279,146,148,466,1086,265,741,237,307,261,619,0
Jason Miskiri,188,79,PG,1,3,2000,2000,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
Jason Collins,193,88,C,847,16530,2002,2014,13,2802,1001,1943,2944,659,403,394,973,2341,7,35,835,1308,671,2335,0
Jarvis Varnado,206,104,PF,74,794,2013,2014,2,214,42,102,144,32,22,62,78,134,0,0,58,112,32,144,0
Jarrod Uthoff,206,100,PF,9,115,2017,2017,1,40,8,14,22,9,2,4,13,29,3,9,5,7,3,8,0
Jared Sullinger,206,117,PF,269,6532,2013,2017,5,2893,684,1322,2006,477,180,161,1031,2168,141,518,408,564,332,784,0
Jared Dudley,201,102,PF,808,18921,2008,2017,10,6492,835,1897,2732,1256,691,144,1559,3010,810,2042,944,1298,724,1477,0
Jan Vesely,211,108,PF,216,3231,2012,2014,3,787,306,447,753,117,160,119,352,676,0,2,83,213,159,505,0
Jamison Brewer,193,83,PG,54,468,2002,2005,4,89,15,35,50,56,19,2,27,62,8,32,11,28,32,34,0
James Thomas,198,97,PF,66,534,2005,2006,2,108,58,94,152,10,8,14,44,78,0,0,20,40,28,96,0
James Nunnally,201,92,SF,26,330,2014,2014,1,88,2,36,38,16,12,4,14,42,16,50,12,18,14,22,0
James Jones,190,81,SF,709,11098,2004,2017,14,3717,226,1051,1277,366,227,218,429,1066,776,1937,531,632,231,930,0
James Harden,196,99,PG,615,20688,2010,2017,8,13618,475,2618,3093,3526,904,274,2623,5252,1382,3801,4226,4951,2068,1564,0
James Anderson,198,96,SG,286,4721,2011,2016,6,1571,126,506,632,333,136,60,360,731,217,671,200,261,241,317,0
Jamario Moon,203,92,SF,425,9561,2008,2012,5,2639,282,1475,1757,438,343,329,766,1446,280,844,267,326,212,622,0
Jamal Murray,193,93,SG,82,1764,2017,2017,1,811,41,173,214,170,52,24,180,386,115,344,106,120,113,124,0
Jamaal Franklin,196,86,SG,24,174,2014,2015,2,42,5,20,25,9,4,3,11,28,6,13,2,2,14,27,0
Jake Voskuhl,211,111,C,450,6443,2001,2009,9,1814,562,977,1539,237,148,166,672,1378,1,3,467,654,340,1166,0
Adreian Payne,208,107,PF,134,2099,2015,2017,3,621,125,343,468,96,62,36,244,574,14,65,91,137,132,285,0
JaJuan Johnson,206,113,PF,36,298,2012,2012,1,114,20,38,58,6,5,14,54,121,0,0,6,9,14,25,0
Jae Crowder,198,106,SF,465,10544,2013,2017,5,4041,343,1412,1755,632,464,146,908,1770,514,1516,683,872,350,861,0
Jackson Vroman,208,99,PF,133,1816,2005,2006,2,497,161,275,436,91,62,49,190,458,0,6,117,194,149,288,0
Jackie Butler,208,113,C,69,848,2005,2007,3,343,73,132,205,30,20,31,137,254,0,0,69,89,73,143,0
Jabari Parker,203,113,PF,152,4874,2015,2017,3,2403,252,595,847,314,151,56,893,1747,78,229,383,512,255,307,0
J.R. Bremer,206,117,PG,136,2389,2003,2004,2,764,36,181,217,266,74,11,118,346,139,434,111,151,107,144,0
J.J. Hickson,218,122,C,623,13605,2009,2016,8,5739,1345,2761,4106,517,319,358,2312,4579,0,24,1115,1830,869,1165,0
Ivica Zubac,216,120,C,38,609,2017,2017,1,284,41,118,159,30,14,33,126,235,0,3,32,49,30,66,0
Ivan Johnson,203,104,PF,125,1969,2012,2013,2,808,141,351,492,78,99,32,323,612,3,19,153,231,140,247,0
Arron Afflalo,196,95,SG,787,22649,2008,2017,10,9054,357,2000,2357,1485,378,140,2350,4887,943,2468,1525,1845,947,1592,0
Isaiah Taylor,190,77,PG,4,52,2017,2017,1,3,1,2,3,3,1,1,1,5,0,2,1,2,0,6,0
Isaiah Canaan,183,91,SG,232,4686,2014,2017,4,1992,69,352,421,392,144,23,245,612,401,1126,299,362,256,359,0
Ira Bowman,196,88,SG,17,68,2000,2002,3,15,1,4,5,9,3,0,7,10,0,1,1,2,2,3,0
Ike Diogu,203,113,PF,313,3770,2006,2012,7,1833,376,572,948,97,47,94,652,1294,2,4,523,665,279,570,0
Ibo Kutluay,198,90,SG,5,12,2005,2005,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,1,0
Ian Clark,190,79,SG,226,2271,2014,2017,4,945,46,195,241,193,82,29,242,474,122,338,95,117,130,199,0
Henry Ellenson,211,111,PF,19,146,2017,2017,1,60,8,33,41,7,1,1,13,29,10,35,4,8,14,6,0
Arinze Onuaku,206,115,C,24,156,2014,2017,4,37,13,30,43,12,1,4,16,28,0,0,5,12,6,15,0
Hasheem Thabeet,221,119,C,291,2869,2010,2014,5,571,243,469,712,31,69,210,210,382,0,0,151,261,148,549,0
Hanno Mottola,211,112,C,155,2360,2001,2002,2,715,130,312,442,75,31,28,291,645,1,16,130,166,137,337,0
Hakim Warrick,206,99,PF,630,12670,2006,2013,8,5874,840,1680,2520,477,255,178,2086,4222,22,120,1636,2254,733,1132,0
Greivis Vasquez,198,98,PG,480,11299,2011,2017,7,4349,145,1049,1194,2258,267,39,1134,2486,521,1469,518,626,881,910,0
Greg Stiemsma,211,117,C,203,3048,2012,2015,4,641,190,489,679,97,118,232,269,528,0,1,103,146,143,512,0
Gordon Hayward,203,102,SF,516,16164,2011,2017,7,8077,377,1771,2148,1762,527,215,2032,4256,689,1873,1946,2372,1059,923,0
Glenn Robinson III,198,100,F - G,196,2917,2015,2019,5,873,103,324,427,112,85,36,233,495,93,252,128,176,84,138,0
Glen Rice Jr,198,93,G,16,152,2014,2015,2,43,6,18,24,9,6,1,8,28,6,24,9,13,11,18,0
Glen Davis,206,131,PF,582,12527,2008,2015,8,4752,839,1748,2587,534,415,202,1871,4138,14,66,968,1384,604,1397,0
Antonio Anderson,188,83,SF,1,15,2010,2010,1,2,1,0,1,0,0,0,1,3,0,0,0,0,1,1,0
Giannis Antetokounmpo,211,100,SF,318,10106,2014,2017,4,4737,433,1760,2193,1136,358,410,1600,3019,125,451,1162,1570,737,931,0
Gerald Wallace,201,97,SF,961,29500,2002,2015,14,11846,1343,4450,5793,2062,1390,780,3674,7336,515,1639,2953,4116,1749,2157,0
Gerald Henderson Jr,196,97,G,535,13854,2009,2017,9,5987,314,1402,1716,1009,358,183,2000,4349,249,762,1240,1564,639,930,0
Georgios Papagiannis,216,108,C,22,355,2017,2017,1,124,24,62,86,20,3,17,56,100,0,2,12,14,24,44,0
Antoine Rigaudeau,201,95,SG,11,91,2003,2003,1,17,4,4,8,6,3,0,7,30,1,5,0,0,6,11,0
Zeljko Rebraca,213,116,C,239,3553,2002,2006,5,1367,219,527,746,94,62,171,522,1003,0,0,323,409,220,564,0
Yuta Tabuse,175,74,PG,4,17,2005,2005,1,7,2,2,4,3,0,0,0,5,1,1,4,4,1,1,0
